,IncGeo_WardName,DelayCodeId,tmoyCodeId,tmedCodeId,tstdCodeId,tminCodeId,tmaxCodeId
106,ST. JAMES'S,12.0,486.1732283464567,436.0,132.95786983329035,361.0,1036.0
107,ST. JAMES'S,5.0,544.2727272727273,599.0,169.71510887902167,365.0,802.0
108,ST. JAMES'S,8.0,505.1,449.0,142.55248546100876,367.0,727.0
109,ST. JAMES'S,7.0,540.2857142857143,528.0,184.31468949029744,362.0,899.0
110,ST. JAMES'S,11.0,651.3333333333334,545.0,207.99599355115794,518.0,891.0
111,ST. JAMES'S,10.0,378.0,378.0,0.0,378.0,378.0
112,PERRY VALE,0.0,206.78488372093022,209.0,61.36007429534502,6.0,360.0
113,PERRY VALE,12.0,505.3888888888889,461.0,115.91281657242064,377.0,819.0
114,PERRY VALE,9.0,430.5,430.5,0.7071067811865476,430.0,431.0
115,PERRY VALE,6.0,580.0,580.0,0.0,580.0,580.0
116,PERRY VALE,7.0,834.5,834.5,393.85847712090697,556.0,1113.0
117,PERRY VALE,13.0,482.0,482.0,0.0,482.0,482.0
118,POPLAR,12.0,447.2352941176471,426.0,67.93703832572177,365.0,568.0
119,POPLAR,0.0,195.81746031746033,196.5,83.94116042025158,3.0,381.0
120,POPLAR,9.0,503.42857142857144,499.0,91.31421419628882,379.0,635.0
121,POPLAR,11.0,493.0,493.0,59.39696961966999,451.0,535.0
122,POPLAR,5.0,490.0,490.0,172.5340546095176,368.0,612.0
123,POPLAR,13.0,407.5,407.5,12.020815280171307,399.0,416.0
124,POPLAR,7.0,404.0,404.0,0.0,404.0,404.0
125,HAMMERSMITH BROADWAY,0.0,251.58367346938775,249.0,61.71342863053036,66.0,359.0
126,HAMMERSMITH BROADWAY,9.0,503.6842105263158,443.0,180.30069101721864,374.0,1164.0
127,HAMMERSMITH BROADWAY,5.0,417.0,417.0,0.0,417.0,417.0
128,HAMMERSMITH BROADWAY,12.0,482.64516129032256,424.0,160.38402837919924,361.0,1145.0
129,HAMMERSMITH BROADWAY,11.0,505.0,505.0,0.0,505.0,505.0
130,LANCASTER GATE,0.0,265.3941908713693,265.0,49.85878190228964,72.0,358.0
131,LANCASTER GATE,12.0,473.14285714285717,423.5,114.97080374723713,362.0,749.0
132,LANCASTER GATE,9.0,438.3125,401.5,93.6388229671148,361.0,636.0
133,LANCASTER GATE,7.0,1149.0,1149.0,0.0,1149.0,1149.0
134,LANCASTER GATE,5.0,425.5,425.5,33.23401871576773,402.0,449.0
135,LANCASTER GATE,11.0,361.0,361.0,0.0,361.0,361.0
136,COOMBE VALE,12.0,412.72727272727275,410.0,37.14051940695205,368.0,474.0
137,COOMBE VALE,0.0,292.0,293.0,39.33509883043387,192.0,349.0
138,COOMBE VALE,8.0,452.6666666666667,452.0,46.003623045726876,407.0,499.0
139,COOMBE VALE,9.0,678.25,648.5,192.88057617776514,476.0,940.0
140,COOMBE VALE,5.0,625.0,625.0,0.0,625.0,625.0
141,BECKTON,12.0,444.40425531914894,401.0,101.06254188769923,363.0,738.0
142,BECKTON,0.0,253.97674418604652,253.5,60.06165969049042,8.0,360.0
143,BECKTON,5.0,416.625,404.0,41.32428376356242,378.0,511.0
144,BECKTON,9.0,502.84615384615387,453.0,132.51028020110124,378.0,836.0
145,BECKTON,7.0,494.5,494.5,111.01576464628796,416.0,573.0
146,BECKTON,11.0,421.5,421.5,7.7781745930520225,416.0,427.0
147,BECKTON,8.0,443.0,443.0,0.0,443.0,443.0
148,WHITEFOOT,12.0,437.41269841269843,423.0,78.417747110944,361.0,847.0
149,WHITEFOOT,0.0,313.1842105263158,332.5,65.56113518432382,3.0,373.0
150,WHITEFOOT,10.0,460.0,460.0,0.0,460.0,460.0
151,WHITEFOOT,5.0,412.6666666666667,413.0,4.509249752822894,408.0,417.0
152,WHITEFOOT,9.0,492.25,502.0,62.659795722616266,412.0,553.0
153,WHITEFOOT,8.0,462.0,419.5,101.29494887044795,396.0,613.0
154,WHITEFOOT,13.0,389.0,389.0,9.899494936611665,382.0,396.0
155,WHITEFOOT,7.0,544.0,544.0,0.0,544.0,544.0
156,HILLSIDE,0.0,256.5108695652174,262.0,60.11335346800754,7.0,357.0
157,HILLSIDE,12.0,454.4736842105263,458.0,58.327969678222345,388.0,588.0
158,HILLSIDE,9.0,426.4,397.0,95.67288016987885,368.0,595.0
159,HILLSIDE,5.0,776.5,776.5,505.58134854838147,419.0,1134.0
160,HILLSIDE,13.0,384.0,384.0,19.79898987322333,370.0,398.0
161,HILLSIDE,8.0,547.0,547.0,162.63455967290594,432.0,662.0
162,WHITECHAPEL,0.0,211.45808383233532,211.0,59.153612648851535,4.0,359.0
163,WHITECHAPEL,6.0,394.0,394.0,0.0,394.0,394.0
164,WHITECHAPEL,12.0,431.875,435.5,38.58362902283076,377.0,483.0
165,WHITECHAPEL,5.0,383.0,383.0,12.727922061357855,374.0,392.0
166,WHITECHAPEL,9.0,497.5,436.5,154.13597892769877,374.0,766.0
167,WHITECHAPEL,3.0,528.0,528.0,0.0,528.0,528.0
168,WHITECHAPEL,7.0,463.0,463.0,0.0,463.0,463.0
169,ELM PARK,8.0,512.5,424.5,202.44646558676055,379.0,986.0
170,ELM PARK,12.0,458.88,441.0,80.642379263842,361.0,676.0
171,ELM PARK,0.0,288.4,319.0,83.39475831421129,54.0,347.0
172,ELM PARK,9.0,530.875,437.0,219.09713273210258,363.0,1010.0
173,ELM PARK,11.0,763.0,763.0,0.0,763.0,763.0
174,ELM PARK,7.0,685.0,685.0,0.0,685.0,685.0
175,ELM PARK,13.0,483.0,483.0,63.63961030678928,438.0,528.0
176,ELM PARK,6.0,378.0,378.0,0.0,378.0,378.0
177,ELM PARK,5.0,597.0,597.0,294.15642097360376,389.0,805.0
178,TURNHAM GREEN,0.0,197.51445086705203,197.0,69.25488874830226,2.0,441.0
179,TURNHAM GREEN,12.0,461.73333333333335,437.0,93.99655515470968,363.0,678.0
180,TURNHAM GREEN,9.0,469.3636363636364,436.0,100.8328049072054,382.0,653.0
181,TURNHAM GREEN,5.0,585.3333333333334,567.0,208.1065432256596,387.0,802.0
182,TURNHAM GREEN,7.0,485.0,485.0,0.0,485.0,485.0
183,TURNHAM GREEN,8.0,661.0,661.0,0.0,661.0,661.0
184,HAGGERSTON,9.0,462.2,422.5,126.58137479283613,360.0,797.0
185,HAGGERSTON,0.0,263.91620111731845,273.0,57.51637495300452,22.0,359.0
186,HAGGERSTON,8.0,429.3333333333333,402.0,57.13434460404122,391.0,495.0
187,HAGGERSTON,12.0,442.4761904761905,415.0,89.15414687361381,360.0,726.0
188,HAGGERSTON,5.0,517.5,517.5,61.518289963229634,474.0,561.0
189,HAGGERSTON,13.0,458.0,458.0,0.0,458.0,458.0
190,HAGGERSTON,7.0,380.5,380.5,17.67766952966369,368.0,393.0
191,BROOKLANDS,12.0,465.80434782608694,421.5,128.60285456745717,360.0,985.0
192,BROOKLANDS,0.0,288.86607142857144,296.5,50.53435109193686,81.0,360.0
193,BROOKLANDS,13.0,451.0,451.0,53.74011537017761,413.0,489.0
194,BROOKLANDS,5.0,484.6,441.0,96.0744502976728,415.0,646.0
195,BROOKLANDS,9.0,488.09090909090907,482.0,98.74457407417842,382.0,751.0
196,BROOKLANDS,8.0,516.75,454.0,181.06860829279853,374.0,965.0
197,BROOKLANDS,7.0,472.0,472.0,0.0,472.0,472.0
198,BROOKLANDS,10.0,383.0,383.0,0.0,383.0,383.0
199,CUSTOM HOUSE,12.0,500.9375,437.0,179.84825779899379,390.0,1117.0
200,CUSTOM HOUSE,0.0,242.73504273504273,244.0,63.7089818225723,12.0,354.0
201,CUSTOM HOUSE,5.0,533.1818181818181,510.0,189.37413666169843,369.0,912.0
202,CUSTOM HOUSE,8.0,434.6666666666667,415.0,50.46120622154541,397.0,492.0
203,CUSTOM HOUSE,11.0,677.0,677.0,445.47727214752496,362.0,992.0
204,CUSTOM HOUSE,9.0,423.0,421.0,49.684001449158664,367.0,501.0
205,THAMESMEAD MOORINGS,0.0,296.8192771084337,318.0,68.1864632475007,10.0,409.0
206,THAMESMEAD MOORINGS,12.0,483.6666666666667,443.0,125.00784289121113,365.0,1014.0
207,THAMESMEAD MOORINGS,9.0,459.8636363636364,418.0,113.11700451283488,370.0,799.0
208,THAMESMEAD MOORINGS,10.0,428.0,428.0,86.2670273047588,367.0,489.0
209,THAMESMEAD MOORINGS,8.0,406.6666666666667,396.5,44.68855185242264,371.0,495.0
210,THAMESMEAD MOORINGS,3.0,601.5,601.5,57.27564927611035,561.0,642.0
211,THAMESMEAD MOORINGS,13.0,464.0,472.0,57.28437832428663,371.0,522.0
212,THAMESMEAD MOORINGS,7.0,441.0,439.5,44.53313373208762,384.0,488.0
213,THAMESMEAD MOORINGS,5.0,601.1818181818181,491.0,233.27486713395345,398.0,1022.0
214,THAMESMEAD MOORINGS,11.0,533.0,533.0,203.64675298172568,389.0,677.0
215,MILE END,0.0,253.61621621621623,258.0,56.44686571146929,3.0,358.0
